"stimType","level","n","males","age_years","arithmetic","recall"
"Faces","1-3",38,"18 (47.4 %)","24.3 (3.6)","90.0%","92.3%"
"Faces","3-5",30,"15 (50.0 %)","24.2 (3.1)","84.7%","82.6%"
"Faces","5-7",33,"15 (45.5 %)","23.6 (2.2)","89.8%","69.3%"
"Faces","1-7",50,"24 (48.0 %)","23.3 (2.5)","87.7%","81.8%"
"Letters","1-3",20,"5 (25.0 %)","24.2 (2.7)","88.8%","85.5%"
"Letters","3-5",21,"10 (47.6 %)","25.6 (9.3)","81.0%","89.0%"
"Letters","5-7",17,"9 (52.9 %)","23.2 (1.9)","89.0%","84.7%"
"Letters","1-7",31,"16 (51.6 %)","23.4 (3.4)","82.1%","83.3%"
